chain,day,total_value
gnosis,2022-03-16 00:00:00.000 UTC,13666922276560640239
Avalanche,2022-03-17 00:00:00.000 UTC,3086949277948213634
avalanche_c,2022-03-17 00:00:00.000 UTC,3086949277948213634
Avalanche,2022-03-19 00:00:00.000 UTC,16084220216762322290
avalanche_c,2022-03-19 00:00:00.000 UTC,16084220216762322290
Avalanche,2022-03-20 00:00:00.000 UTC,54067005874109791192
Gnosis,2022-03-20 00:00:00.000 UTC,48883759816226123391
avalanche_c,2022-03-20 00:00:00.000 UTC,54067005874109791192
gnosis,2022-03-20 00:00:00.000 UTC,48883759816226123391
Gnosis,2022-03-25 00:00:00.000 UTC,170948491364389171273
gnosis,2022-03-25 00:00:00.000 UTC,170948491364389171273
Avalanche,2022-03-26 00:00:00.000 UTC,110731724336335171170
Gnosis,2022-03-26 00:00:00.000 UTC,379880567210611202762
avalanche_c,2022-03-26 00:00:00.000 UTC,110731724336335171170
gnosis,2022-03-26 00:00:00.000 UTC,379880567210611202762
Gnosis,2022-03-27 00:00:00.000 UTC,184718013914846534709
gnosis,2022-03-27 00:00:00.000 UTC,184718013914846534709
Gnosis,2022-03-29 00:00:00.000 UTC,175410824966946651009
gnosis,2022-03-29 00:00:00.000 UTC,175410824966946651009
Gnosis,2022-04-01 00:00:00.000 UTC,9899246820125488414
gnosis,2022-04-01 00:00:00.000 UTC,9899246820125488414
Gnosis,2022-04-02 00:00:00.000 UTC,561563211289781803
gnosis,2022-04-02 00:00:00.000 UTC,561563211289781803
Gnosis,2022-04-05 00:00:00.000 UTC,892899757592784951323270
gnosis,2022-04-05 00:00:00.000 UTC,892899757592784951323270
Avalanche,2022-04-10 00:00:00.000 UTC,4826831146756527812428385
Gnosis,2022-04-10 00:00:00.000 UTC,11223951487142944736692
avalanche_c,2022-04-10 00:00:00.000 UTC,4826831146756527812428385
gnosis,2022-04-10 00:00:00.000 UTC,11223951487142944736692
Avalanche,2022-04-15 00:00:00.000 UTC,200622865782093719805641
avalanche_c,2022-04-15 00:00:00.000 UTC,200622865782093719805641
Gnosis,2022-05-04 00:00:00.000 UTC,206163835811777901862
gnosis,2022-05-04 00:00:00.000 UTC,206163835811777901862
Gnosis,2022-05-25 00:00:00.000 UTC,71198791289135292224686
gnosis,2022-05-25 00:00:00.000 UTC,71198791289135292224686
Avalanche,2022-05-26 00:00:00.000 UTC,834857446104888457767007
avalanche_c,2022-05-26 00:00:00.000 UTC,834857446104888457767007
Avalanche,2022-05-27 00:00:00.000 UTC,70000000000000000000000
Gnosis,2022-05-27 00:00:00.000 UTC,213978364889152100953317
avalanche_c,2022-05-27 00:00:00.000 UTC,70000000000000000000000
gnosis,2022-05-27 00:00:00.000 UTC,213978364889152100953317
Avalanche,2022-05-28 00:00:00.000 UTC,21034036324660350815784381569
Gnosis,2022-05-28 00:00:00.000 UTC,115941508114136417245787827
avalanche_c,2022-05-28 00:00:00.000 UTC,21034036324660350815784381569
gnosis,2022-05-28 00:00:00.000 UTC,115941508114136417245787827
Gnosis,2022-05-29 00:00:00.000 UTC,96246527511931702770738
gnosis,2022-05-29 00:00:00.000 UTC,96246527511931702770738
Gnosis,2022-05-30 00:00:00.000 UTC,1402878458044457284141182
gnosis,2022-05-30 00:00:00.000 UTC,1402878458044457284141182
Gnosis,2022-06-01 00:00:00.000 UTC,657551513531925696534632
gnosis,2022-06-01 00:00:00.000 UTC,657551513531925696534632
Gnosis,2022-06-02 00:00:00.000 UTC,58229169124706967720356
gnosis,2022-06-02 00:00:00.000 UTC,58229169124706967720356
Gnosis,2022-06-03 00:00:00.000 UTC,188582170738089817102987
gnosis,2022-06-03 00:00:00.000 UTC,188582170738089817102987
Gnosis,2022-06-06 00:00:00.000 UTC,909537667252496533323447
